其他医疗设备及器械制造,"","",3589
环保、社会公共服务及其他专用设备制造,"",359,""
环境保护专用设备制造,"","",3591
地质勘查专用设备制造,"","",3592
邮政专用机械及器材制造,"","",3593
商业、饮食、服务专用设备制造,"","",3594
社会公共安全设备及器材制造,"","",3595
交通安全、管制及类似专用设备制造,"","",3596
水资源专用机械制造,"","",3597
其他专用设备制造,"","",3599
汽车制造业,36,"",""
汽车整车制造,"",361,3610
改装汽车制造,"",362,3620
低速载货汽车制造,"",363,3630
电车制造,"",364,3640
汽车车身、挂车制造,"",365,3650
汽车零部件及配件制造,"",366,3660
铁路、船舶、航空航天和其他运输设备制造业,37,"",""
铁路运输设备制造,"",371,""
铁路机车车辆及动车组制造,"","",3711
窄轨机车车辆制造,"","",3712
铁路机车车辆配件制造,"","",3713
铁路专用设备及器材、配件制造,"","",3714
其他铁路运输设备制造,"","",3719
城市轨道交通设备制造,"",372,3720
船舶及相关装置制造,"",373,""
金属船舶制造,"","",3731
非金属船舶制造,"","",3732
娱乐船和运动船制造,"","",3733
船用配套设备制造,"","",3734
船舶改装与拆除,"","",3735
航标器材及其他相关装置制造,"","",3739
航空、航天器及设备制造,"",374,""
飞机制造,"","",3741
航天器制造,"","",3742
航空、航天相关设备制造,"","",3743
其他航空航天器制造,"","",3749
摩托车制造,"",375,""
摩托车整车制造,"","",3751
摩托车零部件及配件制造,"","",3752
自行车制造,"",376,""
脚踏自行车及残疾人座车制造,"","",3761
公路工程建筑,"","",4812
市政道路工程建筑,"","",4813
助动自行车制造,"","",3762
非公路休闲车及零配件制造,"",377,3770
潜水救捞及其他未列明运输设备制造,"",379,""
潜水及水下救捞装备制造,"","",3791
其他未列明运输设备制造,"","",3799
电气机械和器材制造业,38,"",""
电机制造,"",381,""
发电机及发电机组制造,"","",3811
电动机制造,"","",3812
微电机及其他电机制造,"","",3819
输配电及控制设备制造,"",382,""
变压器、整流器和电感器制造,"","",3821
电容器及其配套设备制造,"","",3822
配电开关控制设备制造,"","",3823
电力电子元器件制造,"","",3824
光伏设备及元器件制造,"","",3825
其他输配电及控制设备制造,"","",3829
电线、电缆、光缆及电工器材制造,"",383,""
电线、电缆制造,"","",3831
光纤、光缆制造,"","",3832
绝缘制品制造,"","",3833
其他电工器材制造,"","",3839
电池制造,"",384,""
锂离子电池制造,"","",3841
镍氢电池制造,"","",3842
其他电池制造,"","",3849
家用电力器具制造,"",385,""
家用制冷电器具制造,"","",3851
家用空气调节器制造,"","",3852
家用通风电器具制造,"","",3853
家用厨房电器具制造,"","",3854
家用清洁卫生电器具制造,"","",3855
家用美容、保健电器具制造,"","",3856
家用电力器具专用配件制造,"","",3857
其他家用电力器具制造,"","",3859
非电力家用器具制造,"",386,""
燃气、太阳能及类似能源家用器具制造,"","",3861
其他非电力家用器具制造,"","",3869
照明器具制造,"",387,""
电光源制造,"","",3871
照明灯具制造,"","",3872
灯用电器附件及其他照明器具制造,"","",3879
其他电气机械及器材制造,"",389,""
农林牧渔专用仪器仪表制造,"","",4024
其他道路、隧道和桥梁工程建筑,"","",4819
电气信号设备装置制造,"","",3891
其他未列明电气机械及器材制造,"","",3899
计算机、通信和其他电子设备制造业,39,"",""
计算机制造,"",391,""
计算机整机制造,"","",3911
计算机零部件制造,"","",3912
计算机外围设备制造,"","",3913
其他计算机制造,"","",3919
通信设备制造,"",392,""
通信系统设备制造,"","",3921
通信终端设备制造,"","",3922
广播电视设备制造,"",393,""
广播电视节目制作及发射设备制造,"","",3931
广播电视接收设备及器材制造,"","",3932
应用电视设备及其他广播电视设备制造,"","",3939
雷达及配套设备制造,"",394,3940
视听设备制造,"",395,""
电视机制造,"","",3951
音响设备制造,"","",3952
影视录放设备制造,"","",3953
电子器件制造,"",396,""
电子真空器件制造,"","",3961
半导体分立器件制造,"","",3962
集成电路制造,"","",3963
光电子器件及其他电子器件制造,"","",3969
电子元件制造,"",397,""
电子元件及组件制造,"","",3971
印制电路板制造,"","",3972
其他电子设备制造,"",399,3990
仪器仪表制造业,40,"",""
通用仪器仪表制造,"",401,""
工业自动控制系统装置制造,"","",4011
电工仪器仪表制造,"","",4012
绘图、计算及测量仪器制造,"","",4013
实验分析仪器制造,"","",4014
试验机制造,"","",4015
供应用仪表及其他通用仪器制造,"","",4019
专用仪器仪表制造,"",402,""
环境监测专用仪器仪表制造,"","",4021
运输设备及生产用计数仪表制造,"","",4022
导航、气象及海洋专用仪器制造,"","",4023
铁路工程建筑,"","",4811
地质勘探和地震专用仪器制造,"","",4025
教学专用仪器制造,"","",4026
核子及核辐射测量仪器制造,"","",4027
电子测量仪器制造,"","",4028
其他专用仪器制造,"","",4029
钟表与计时仪器制造,"",403,4030
光学仪器及眼镜制造,"",404,""
光学仪器制造,"","",4041
眼镜制造,"","",4042
其他仪器仪表制造业,"",409,4090
其他制造业,41,"",""
日用杂品制造,"",411,""
鬃毛加工、制刷及清扫工具制造,"","",4111
其他日用杂品制造,"","",4119
煤制品制造,"",412,4120
核辐射加工,"",413,4130
其他未列明制造业,"",419,4190
废弃资源综合利用业,42,"",""
金属废料和碎屑加工处理,"",421,4210
非金属废料和碎屑加工处理,"",422,4220
金属制品、机械和设备修理业,43,"",""
金属制品修理,"",431,4310
通用设备修理,"",432,4320
专用设备修理,"",433,4330
铁路、船舶、航空航天等运输设备修理,"",434,""
铁路运输设备修理,"","",4341
船舶修理,"","",4342
航空航天器修理,"","",4343
其他运输设备修理,"","",4349
电气设备修理,"",435,4350
仪器仪表修理,"",436,4360
其他机械和设备修理业,"",439,4390
电力、热力生产和供应业,44,"",""
电力生产,"",441,""
火力发电,"","",4411
水力发电,"","",4412
核力发电,"","",4413
风力发电,"","",4414
太阳能发电,"","",4415
其他电力生产,"","",4419
电力供应,"",442,4420
热力生产和供应,"",443,4430
燃气生产和供应业,45,"",""
燃气生产和供应业,"",450,4500
水的生产和供应业,46,"",""
自来水生产和供应,"",461,4610
污水处理及其再生利用,"",462,4620
其他水的处理、利用与分配,"",469,4690
房屋建筑业,47,"",""
房屋建筑业,"",470,4700
土木工程建筑业,48,"",""
铁路、道路、隧道和桥梁工程建筑,"",481,""
水利和内河港口工程建筑,"",482,""
水源及供水设施工程建筑,"","",4821
河湖治理及防洪设施工程建筑,"","",4822
港口及航运设施工程建筑,"","",4823
海洋工程建筑,"",483,4830
工矿工程建筑,"",484,4840
架线和管道工程建筑,"",485,""
架线及设备工程建筑,"","",4851
管道工程建筑,"","",4852
其他土木工程建筑,"",489,4890
建筑安装业,49,"",""
电气安装,"",491,4910
管道和设备安装,"",492,4920
其他建筑安装业,"",499,4990
建筑装饰和其他建筑业,50,"",""
建筑装饰业,"",501,5010
工程准备活动,"",502,""
建筑物拆除活动,"","",5021
其他工程准备活动,"","",5029
提供施工设备服务,"",503,5030
其他未列明建筑业,"",509,5090
批发业,51,"",""
农、林、牧产品批发,"",511,""
谷物、豆及薯类批发,"","",5111
种子批发,"","",5112
